タイトル,システム,PL通過,回し経験,部屋,PC人数,要素,ふりがな
R.I.P±3,クトゥルフ,No,No,No,2PL+KPC,"PvP可能性あり, R18, 秘匿HOあり, 要地雷確認",りっぷ・りっぷ・りっぷ
モーンガータの魔法使い,クトゥルフ,No,No,No,2PL,"CP, PvP可能性あり, 秘匿HOあり",もーんがーたのまほうつかい
午後6時のペルセポネ,インセイン,No,Yes,Yes,1PL,"WSオリジナル, 特殊型",ごごろくざいのぺるせぽね
午前0時のデメテル,インセイン,No,Yes,Yes,1PL,"WSオリジナル, 特殊型",ごぜんれいじのでめてる
千年時計と時計守り,インセイン,No,Yes,Yes,1PL,"WSオリジナル, 特殊型",せんねんとけいととけいまもり
侵蝕の森へ,インセイン,No,No,No,1PL,"WSオリジナル, 特殊型",しんしょくのもりへ
鏡界線のミラ,インセイン,No,No,No,"1PL, 2PL","WSオリジナル, 特殊型",きょうかいせんのみら
イストリアリス,インセイン,No,No,No,1PL,"WSオリジナル, 特殊型",いすとりありす
卯月の花筏,クトゥルフ,No,No,No,2PL,"RP中心, クローズド, 秘匿HOあり",うづきのはないかだ
花束と魔女,クトゥルフ,No,No,No,2PL,"CP, クローズド, 秘匿HOあり, 要地雷確認",はなたばとまじょ
吾や、忘れじ久米の唄,クトゥルフ,No,No,No,2PL+KPC,"CP, PvP可能性あり, R18G, RP中心, 比叡山炎上, 秘匿HOあり",われや、わすれじくめのうた。
水天一碧を朝凪でのぞむ。,クトゥルフ,Yes,Yes,Yes,2PL,"RP中心, クローズド, 秘匿HOあり",すいてんいっぺきをあさなぎでのぞむ
迷い猫に缶切りひとつ,クトゥルフ,No,Yes,Yes,1PL+KPC,"RP中心, シティ",まよいねこにかんきりひとつ
やたら爆弾を見つけるKPC,クトゥルフ,No,Yes,Yes,1PL+KPC,"RP中心, ドタバタ",やたらばくだんをみつけるけーぴーしー
"My dear,“H”",クトゥルフ,No,Yes,Yes,1PL+KPC,"RP中心, クローズド",まいであえいち
Room-0-,インセイン,Yes,Yes,Yes,2PL,"WSオリジナル, 特殊型",るーむぜろ
SHOTGUN KIXXING MARRIAGE,クトゥルフ,Yes,Yes,Yes,"1PL+KPC, 2PL","RP中心, シティ",しょっとがんきりんぐまりっじ
烏有館事件,インセイン,No,Yes,Yes,1PL,特殊型,うゆうかんじけん
雨と君は、無垢。,クトゥルフ,Yes,Yes,Yes,1PL+KPC,"RP中心, 要地雷確認",あめときみは、むく。
はじめての女装,インセイン,No,Yes,Yes,1PL,"WS本当は怖い現代日本, 特殊型",はじめてのじょそう
闇夜の血をそそぐ,クトゥルフ,No,Yes,Yes,1PL+KPC,RP中心,あんやのちをそそぐ
天使の七日,クトゥルフ,No,Yes,Yes,1PL+KPC,RP中心,てんしのしちか
嗚呼、素晴らしき偶像！,クトゥルフ,No,Yes,Yes,1PL+KPC,"RP中心, ドタバタ",ああ、すばらしきぐうぞう！
不安降神,インセイン,No,Yes,Yes,4PL,"WS本当は怖い現代日本, 特殊型",ふあんふるしん
