id,名前,システム,年齢,性別,誕生日,職業
pc001,柏樹 蓮,クトゥルフ,32,男,1月28日,警察官
pc002,芦崎 向葵,クトゥルフ,25,女,4月17日,雑誌記者
pc003,柊 カレン,クトゥルフ,14,女,-,中学生
pc004,加賀宮 陽菜子,クトゥルフ,15,女,6月26日,女学生
pc005,雪,クトゥルフ,19,女,12月9日,怪盗
pc006,小鷹 裕次郎,クトゥルフ,20,男,6月11日,大学生
pc007,紫雷 埜兎,クトゥルフ,19,男,9月25日,不良見習い
pc008,月森 虎太郎,クトゥルフ,21,男,4月9日,不良
pc009,モロゾフ 洸平,クトゥルフ,30,男,6月27日,脚本家
pc010,奧埜 渚,クトゥルフ,16,男,7月4日,高校生
pc011,栗原 美姫,クトゥルフ,15,女,5月10日,高校生
pc012,柚樹 菰,クトゥルフ,23,男,11月19日,ハッカー
pc013,椿 雪華,クトゥルフ,26,女,3月27日,刑事
pc014,鈴谷 千惺,インセイン,-,男,11月16日,アヤカシ討伐隊
pc015,北畠 虎将,クトゥルフ,35,男,7月23日,探偵
pc016,紀駒 瀬雨遊,クトゥルフ,25,男,2月22日,ミュージシャン
pc017,螺巻 りりら,クトゥルフ,20,女,11月22日,大学生
pc018,リディアーヌ・クロエ・シュヴァリエ,インセイン,23,女,7月21日,エクソシスト
pc019,藤林 一颯,クトゥルフ,19,男,3月2日,忍者
pc020,橋廣 幸,クトゥルフ,29,男,9月23日,ドライバー
pc021,蝶羽 岳斗,クトゥルフ,28,男,12月21日,登山家
pc022,水無瀬 なこ,クトゥルフ,21,女,1月30日,童話作家
pc023,久宝 琥珀,クトゥルフ,20,男,11月7日,大学生
pc024,頭夢児 柚御,クトゥルフ,19,女,2月13日,刺繍作家
pc025,暮星 そら,クトゥルフ,18,男,10月3日,ヒットマン
pc026,鴉,クトゥルフ,25,男,8月16日,貼紙
pc027,若葉 真弘,クトゥルフ,22,男,10月1日,怪盗
pc028,鬼灯 朱音,クトゥルフ,23,女,3月29日,美容師
pc029,漆,クトゥルフ,-,男,-,殺人鬼
pc030,古賀 篤,クトゥルフ,-,男,10月23日,プログラマー
pc031,レオルカ・E・マルティネス,クトゥルフ,9,男,1月5日,お坊ちゃん
pc032,石堂 光希,インセイン,26,男,2月9日,医者
pc033,浅葱 未來,クトゥルフ,17,女,8月22日,高校生
pc034,穂森 杏,クトゥルフ,24,男,2月11日,ミュージシャン
pc035,鴨野 勇志,インセイン,28,男,2月7日,研究者
pc036,宝森 悠,ステラナイツ,18,男,5月16日,ブリンガー
pc037,ハレック,ステラナイツ,17,男,12月27日,シース
pc038,木賊,クトゥルフ,23,男,6月8日,市役所職員
pc039,御手洗 玄,クトゥルフ,26,男,3月19日,記者
pc040,寺塚 九郎,クトゥルフ,25,男,12月9日,配信者
pc041,穂森 瑠生,クトゥルフ,19,男,5月9日,大学生
pc042,明城 日向,クトゥルフ,24,男,4月13日,消防士
pc043,鶴留 なな花,クトゥルフ,20,女,4月22日,刑事
pc044,沖中 雄己,フタリソウサ,17,男,9月18日,高校生
pc045,世良田 嵐士,クトゥルフ,27,男,11月30日,飼育員
pc046,長谷 智彰,フタリソウサ,22,男,8月14日,探偵
pc047,カタバミ,クトゥルフ,-,男,5月20日,メンテナンスシステム
pc048,鯱,クトゥルフ,27,男,2月12日,ジムトレーナー
pc049,夢緑 らふ,クトゥルフ,16,男,12月13日,犯罪者
pc050,巽屋 水葵,クトゥルフ,25,男,2月2日,教師
pc051,古藤田 凌,クトゥルフ,34,男,11月16日,警察
pc052,希月 燐,クトゥルフ,17,男,7月18日,高校生
pc053,長岐 仁,クトゥルフ,26,男,7月7日,イラストレーター
pc054,明時 隼晴,クトゥルフ,21,男,10月10日,殺し屋
pc055,辻 花菜,クトゥルフ,17,女,2月6日,高校生
pc056,姫坂 千晶,クトゥルフ,28,男,5月4日,美食家
pc057,文月一郎,インセイン,17,男,8月5日,高校生
pc058,薄木 蒼生,クトゥルフ,27,男,1月31日,看護士
