タイトル,システム,ふりがな
庭師は何を口遊む,クトゥルフ,にわしはなにをくちずさむ
嗤う人間師,クトゥルフ,わらうにんげんし
不可逆性のオブリガート,クトゥルフ,ふかぎゃくせいのおぶりがーと
世界印度化計画,フタリソウサ,せかいいんどかけいかく
君の手料理は名状しがたき何か。,クトゥルフ,きみのてりょうりはめいじょうしがたきなにか
大正浪漫Ｘ２Ｕ -怪盗×探偵-,クトゥルフ,たいしょうろまんくろすとぅーゆーかいとうたんてい
同居人,クトゥルフ,どうきょにん
悪業に染まる月,インセイン,あくごうにそまるつき
大正浪漫Ｘ２Ｕ -令嬢×使用人-,クトゥルフ,たいしょうろまんくろすとぅーゆーれいじょうしようにん
大正浪漫Ｘ２Ｕ -大正文豪×現代探索者-,クトゥルフ,たいしょうろまんくろすとぅーゆーたいしょうふごうげんだいたんさくしゃ
りんごはあまい,クトゥルフ,りんごはあまい
腕に刻まれる死,クトゥルフ,うでにきざまれるし
ティンダロスのイッヌ,クトゥルフ,てぃんだろすのいっぬ
オバケ風邪流行中！,ピーカーブー,おばけかぜりゅうこうちゅう！
またあうひまで,ピーカーブー,またあうひまで
リング・リング・リング,ピーカーブー,りんぐ・りんぐ・りんぐ
あわてんぼうのサンタクロース,ピーカーブー,あわてんぼうのさんたくろーす
銀河鉄道の夜,ピーカーブー,ぎんがてつどうのよる
エピソード0,ロストロイヤル,えぴそーどぜろ
これが俺達の生き様,ビギニングアイドル,これがおれたちのいきざま
走るパンジャンドラム,フタリソウサ,はしるぱんじゃんどらむ
積層都市アーセルトレイに響くノエル,ステラナイツ,せきそうとしあーせるとれいにひびくのえる
海も枯れるまで,クトゥルフ,うみもかれるまで
脱獄は乙女の嗜み,クトゥルフ,だつごくはおとめのたしなみ
坂道で咲く,クトゥルフ,さかみちでさく
ストレンジ・ハイスクール,クトゥルフ,すとれんじはいすくーる
縁罪連鎖-エンザイレンサ-,クトゥルフ,えんざいれんさ
親愛なる101,クトゥルフ,しんあいなる101
さよならを言いにきた,インセイン,さよならをいいにきた
NOBODY*2,クトゥルフ,のーばでぃのーばでぃ
誤日談,クトゥルフ,ごじつだん
風呂が冷えているんだが？,クトゥルフ,ふろがひえているんだが？
蛾と踊る,クトゥルフ,がとおどる
HO1が誘拐されたので助けに行こうと思います！,クトゥルフ,はんどあうといちがゆうかいされたのでたすけにいこうとおもいます！
夢底に待ちぼうけ,クトゥルフ,ゆめそこにまちぼうけ
探偵王の殺人計画,クトゥルフ,たんていおうのさつじんけいかく
もういる,クトゥルフ,もういる
廃聖堂の魔女,インセイン,はいせいどうのまじょ
狂宴の食卓,インセイン,きょうえんのしょくたく
ねこ、にゃんだらけ,インセイン,ねこ、にゃんだらけ
101匹にゃんちゃん,インセイン,ひゃくいっぴきにゃんちゃん
丑三つ時、五寸釘一本勝負,インセイン,うしみつどき、ごすんくぎいっぽんしょうぶ
仮面ライダー（仮）,インセイン,かめんらいだーかっこかり
蛍子のために,インセイン,けいこのために
Life goes on ～人生は続く～,クトゥルフ,らいふごーずおんじんせいはつづく
蛍子のために if,インセイン,けいこのためにいふ
天使のつぶやきSNS,インセイン,てんしのつぶやきえすえぬえす
とある幸せな家族のエロ本を巡る話,インセイン,とあるしあわせなかぞくのえろほんをめぐるはなし
とある幸せな家族の話,クトゥルフ,とあるしあわせなかぞくのはなし
KP「ルルブ無いけど動画見たから大丈夫」,インセイン,きーぱーるるぶないけどどうがみたからだいじょうぶ
かごめかごめ,クトゥルフ,かごめかごめ
きさらぎ駅,インセイン,きさらぎえき
ちくたくちくたく,インセイン,ちくたくちくたく
マスター、一杯頼むよ,クトゥルフ,ますたーいっぱいたのむよ
お気に召すまま,クトゥルフ,おきにめすまま
海に堕ちてくひとつ星,クトゥルフ,うみにおちていくひとつぼし
後追い夢,クトゥルフ,あとおいゆめ
君との関係を例えるなら,インセイン,きみとのかんけいをたとえるなら
今際の国,クトゥルフ,いまわのくに
少女吸血鬼,インセイン,しょうじょきゅうけつき
羅生門,クトゥルフ,らしょうもん
レイクキーパー,クトゥルフ,れいくきーぱー
廃病院,インセイン,はいびょういん
その随に君を呼ぶ,クトゥルフ,そのずいにきみをよぶ
咎送りの徒花,クトゥルフ,とがおくりのとか
掌で救えるモノ,インセイン,てのひらですくえるもの
満,クトゥルフ,みちる
脳みそとおりみち,クトゥルフ,のうみそとおりみち
死にたがり電車,クトゥルフ,しにたがりでんしゃ
Room-0-,インセイン,るーむぜろ
cube,インセイン,きゅーぶ
裏切り者のワルツ,クトゥルフ,うらぎりもののわるつ
ワンルーム・ディスコン,クトゥルフ,わんるーむでぃすこん
火点し頃の蜘蛛踊り,クトゥルフ,ひともしころのくもおどり
Ｘ２Ｕ -神父×マフィア-,クトゥルフ,くろすとぅーゆーしんぷまふぃあ
Ｘ２Ｕ -アイドル×マネージャー-,クトゥルフ,くろすとぅーゆーあいどるまねーじゃー
Ｘ２Ｕ -オネエ×甥or姪-,クトゥルフ,くろすとぅーゆーおねえおいめい
狂気山脈 ～邪神の山嶺～,クトゥルフ,きょうきさんみゃくじゃしんのさんれい
人の心は妖面の如し,クトゥルフ,ひとのこころはようめんのごとし
魔術師たちのトロイメライ,クトゥルフ,まじゅつしたちのとろいめらい
カタシロ,クトゥルフ,かたしろ
魔術師たちのスクールフェスティバル,クトゥルフ,まじゅつしたちのすくーるふぇすてぃばる
頭夢児島殺人事件,クトゥルフ,とむじしまさつじんじけん
Dual Bullet,クトゥルフ,でゅあるぶれっと
ザップショットカンタービレ！,クトゥルフ,ざっぷしょっとかんたーびれ！
カノヨ街,クトゥルフ,かのよがい
化け猫騒動絡繰り屋敷,クトゥルフ,ばけねこそうどうからくりやしき
追鯨,クトゥルフ,おえのいさなみ
一年の生は元旦にあり,クトゥルフ,いちねんのせいはがんたんにあり
今俺の足蹴ったヤツ誰！？,クトゥルフ,いまおれのあしけったやつだれ！？
怪盗ロマネスク,クトゥルフ,かいとうろまねすく
